Spotify,Band → ID
https://open.spotify.com/artist/40f8qx9x9hQHefc7eoAVHS?si=b9Gu6kHwQ2iBlsKi0kuDOg,1717
https://open.spotify.com/artist/7CZU5mzOgTw04JNJi5DFMi?si=hYJls4Q1TKKggoV6ywRgaw,862
https://open.spotify.com/artist/5rYxJvUtl1dCueu46ExqqC?si=N6_TeuAUS4qrcpT3rfjVeQ,887
https://open.spotify.com/artist/3tPdlblQ1h11Cd4FycbZkQ?si=0IT3heG1Q26HPsTcN82CXw,868
https://open.spotify.com/artist/2PtEbtCfQvJun3MvYsjIyf,859
https://open.spotify.com/artist/2ZSaLTuQ3RqqToiy2AgRAf?si=o2mZZNp9ShSEFIuv1vEX5w,869
https://open.spotify.com/artist/3K1acD8EMTJOxGTuTPtN3n?si=SPNYasRQTkaNKM48ASmhZw,910
https://open.spotify.com/artist/5bvwbAyrx6Yk8oLHqOnJ9p,881
https://open.spotify.com/artist/0kO3CEn9qgTMTUua2AFwox?si=K7LnK_40Th-we2QRdEcDtA,5587
https://open.spotify.com/artist/5TbAWAsSFHfeOpfNMNlRfg,440
https://open.spotify.com/artist/1sHRLE3XbMtkTQbbCiH3Pl?si=PByZZ71zTs-1cGOL_-fgrA,959
https://open.spotify.com/artist/2edvYcvSXkruwRtoU5KFbL?si=WjHyIQtjS-SfLfAPBmxsNA,942
https://open.spotify.com/artist/7euP6vMRQPAKz99IrhkZHO?si=N8zTHtiDSN6XgLrw808DKQ,951
https://open.spotify.com/artist/0vHExor1JWqQDdTE00ZWLJ?si=lwApISKrQSKmONNMSP3Lsw,970
https://open.spotify.com/artist/6wllDB8n2QA2CuaVjqQ9gE,988
https://open.spotify.com/artist/1YuzFn3UbXmdSqkmQu9VFg,963
https://open.spotify.com/artist/6Ozhqrlpd7EWyM8RJQSej5,985
https://open.spotify.com/artist/5QUpF0tUVWX3xWpQIgXu8n,984
https://open.spotify.com/playlist/1ZwOLszPx5QOWadOoa5ZRk?si=TD0H9hAdRtGj21F-ygvGkQ,986
https://open.spotify.com/artist/0hperfy5rU103bYWJPvHb4,754
https://open.spotify.com/artist/4xVLdbyDldbO1J2wo24UzH,975
https://open.spotify.com/artist/6s4UN3LCflfVDtffU99BmG?si=zrVY0DeZST-C13v7ckl-iw,11840
https://open.spotify.com/artist/09F0IMPBSuWgacsRotWteY,934
https://open.spotify.com/artist/755wPulO5CeQWhAEdXEEXH,1012
https://open.spotify.com/artist/2wXDtIpuYUKHm0vZkB3H7N,1010
https://open.spotify.com/artist/3UlxLrm4Nt8Ga2eLv4RoN2?si=k0r20UQ4QhK1Tcvy-dyjDQ,1002
https://open.spotify.com/artist/1iH9RP0krFCtnHnbzKxRzn?fbclid=IwAR1ftyRVxLuC6iGA2F1vWBC0xBfQG7Naa93f2tHthgrd43I449RWXCsxgZY,1937
https://open.spotify.com/album/6B8j8TCvambQEqELVK1NgJ,999
https://open.spotify.com/artist/7KHH0z6Kx0BlIbvvAiWdHq,5160
https://open.spotify.com/artist/4OHDyd3dVtwJoaTGuLBdV3?si=jHEUuy-nSoKCNNnlysYC_w,1039
